File_name,Max_bit_word_size,Compression_time,Decompression_time,Entropy,Entropy_2,Entropy_3,Entropy_7,Avg_bit_word_size,Compression_ratio
barbara.pgm,9,0.84s.,1.25s.,7.632119010904524,6.662140839645435,5.2698042764288395,1.0028961320159668,7.647239414573653,100.00%
boat.pgm,9,0.85s.,1.23s.,7.191370218069238,6.209982428499476,5.167249389905292,1.002459220930296,7.416687146254504,100.00%
chronometer.pgm,9,0.88s.,1.02s.,6.113328352510165,4.854593574408876,3.8926911284811654,0.8345373115061498,6.39578284327255,88.89%
geometr_05.pgm,9,0.73s.,0.38s.,2.0009950011640467,2.0005209292182693,1.9978691210051045,0.5606203505556483,2.5969201220457405,30.78%
geometr_09.pgm,9,0.85s.,0.93s.,4.693658431827913,4.6814774495414,4.523717454066877,0.990209682116092,5.9993799410944035,79.01%
geometr_099.pgm,9,0.85s.,1.3s.,7.654407130466126,7.467696862112772,5.465758752439427,1.004998462094493,7.8718179446559615,100.00%
laplace_10.pgm,9,0.9s.,1.13s.,5.767144375261509,5.727674661154313,5.182429430119289,1.0040939141919527,7.138223984937105,88.89%
laplace_20.pgm,9,0.88s.,1.23s.,6.756458638340564,6.648032286428779,5.418802688968471,1.0049461462462788,7.676779172070127,100.00%
laplace_30.pgm,9,0.87s.,1.26s.,7.287118849352339,7.129540087428983,5.4548246368382145,1.0049919226134663,7.8103602769092335,100.00%
lena.pgm,9,0.81s.,1.17s.,7.445061352834158,6.132289877992042,5.104598938046646,1.000527633197051,7.497434695320446,100.00%
mandril.pgm,9,0.83s.,1.22s.,7.292548774681362,6.4350546698058055,5.268522700418359,1.0031765921693083,7.821067635571721,100.00%
normal_10.pgm,9,0.87s.,1.06s.,5.368684962919431,5.355182983169209,5.058247507395439,1.0035450304745632,6.916496213481744,88.89%
normal_30.pgm,9,0.85s.,1.22s.,6.954314060243367,6.861707297545,5.448389730116832,1.0049853831324393,7.779107795728399,100.00%
normal_50.pgm,9,0.86s.,1.26s.,7.64956844467908,7.470483559914802,5.466426399038284,1.004998462094493,7.866759171389575,100.00%
peppers.pgm,9,0.81s.,1.14s.,6.76242516834165,5.093595243015561,4.242821062566073,0.9193853045154997,7.248469702182683,100.00%
uniform.pgm,9,0.85s.,1.27s.,7.9993177906678765,7.794970142430919,5.469865385911959,1.004998462094493,7.902480613707083,100.00%
pan-tadeusz.txt,9,1.5s.,1.6s.,5.04024843136986,4.241796226176479,3.7800330984063395,0.8907406897755556,4.9852400657157405,62.43%
random.txt,9,34.04s.,54.39s.,5.998231347288017,5.997882574563102,5.97916121909108,1.3223499717090694,7.536112339863668,100.00%
text_test.txt,9,0.0s.,0.0s.,4.44015686040886,2.2789272227581967,1.407419598187823,0.2659788071157434,6.2727272727272725,100.00%
alice29.txt,9,0.48s.,0.45s.,4.567680212177266,3.9892700228410267,3.467493853233334,0.7936905463078624,4.76951963319867,62.42%
asyoulik.txt,9,0.39s.,0.4s.,4.808116220349888,4.10960271670596,3.55996879481095,0.812355322204382,5.357515217491299,70.22%
c-code.txt,9,0.04s.,0.03s.,5.007698078197545,3.9497500679207036,3.0570582737212453,0.6463272797817251,5.2331034482758625,70.12%
lcet10.txt,9,1.3s.,1.41s.,4.669117836842554,4.080590842746486,3.5789248244608753,0.8296654494971072,5.016273654176982,62.43%
plrabn12.txt,9,1.48s.,1.5s.,4.531362798245583,3.9470351808355555,3.529129049034098,0.8387229188028283,4.755212597133048,62.43%
barbara.pgm,13,1.02s.,0.9s.,7.632119010904524,6.662140839645435,5.2698042764288395,1.0028961320159668,6.484394554068002,70.23%
boat.pgm,13,1.0s.,0.88s.,7.191370218069238,6.209982428499476,5.167249389905292,1.002459220930296,6.232431349270864,70.23%
chronometer.pgm,13,1.02s.,0.65s.,6.113328352510165,4.854593574408876,3.8926911284811654,0.8345373115061498,4.9360847817127995,49.32%
geometr_05.pgm,13,0.92s.,0.24s.,2.0009950011640467,2.0005209292182693,1.9978691210051045,0.5606203505556483,2.0377290720667243,19.21%
geometr_09.pgm,13,0.96s.,0.62s.,4.693658431827913,4.6814774495414,4.523717454066877,0.990209682116092,4.60289386028258,43.84%
geometr_099.pgm,13,1.07s.,1.07s.,7.654407130466126,7.467696862112772,5.465758752439427,1.004998462094493,7.254851771893939,88.89%
laplace_10.pgm,13,1.0s.,0.73s.,5.767144375261509,5.727674661154313,5.182429430119289,1.0040939141919527,5.614020892960441,55.49%
laplace_20.pgm,13,1.03s.,0.88s.,6.756458638340564,6.648032286428779,5.418802688968471,1.0049461462462788,6.475755318706496,70.23%
laplace_30.pgm,13,1.05s.,0.99s.,7.287118849352339,7.129540087428983,5.4548246368382145,1.0049919226134663,6.931653629045979,79.01%
